,Unnamed: 0,word_us,word_length,n_phon,nonword,n_phon_nw,ipa_words,ipa_nonwords,ipa_words_shuffle_0,ipa_nonwords_shuffle_0,ipa_words_shuffle_1,ipa_nonwords_shuffle_1,ipa_words_shuffle_2,ipa_nonwords_shuffle_2,ipa_words_shuffle_3,ipa_nonwords_shuffle_3,ipa_words_shuffle_4,ipa_nonwords_shuffle_4
1795,1795,condominium,11,11,condimatiam,11,kɑːndəmɪniəm,kɑːndɪmeɪʃæm,nməːəɪɑmnidk,ɪɑɪʃːmnædmke,əɑimnːdənmɪk,ːdmnmʃeækɑɪɪ,niɪɑdəːkmmnə,dɪːʃæɪmemknɑ,mkməniɑːnəɪd,nmɑʃeæmɪːɪkd,ːnɑinɪdəəmkm,ɪɑndæɪeʃkmːm
1796,1796,conduct,7,7,comdeck,6,kɑːndʌkt,kəmdɛk,ːktɑʌknd,ɛdməkk,ʌtnkːkɑd,əkdkɛm,kdkʌɑːtn,mɛəkkd,ːkkdntɑʌ,ɛdkkəm,ʌnːkkdɑt,ɛəkdmk
1797,1797,conductivity,12,12,conductority,12,kɑːndəktɪvᵻɾi,kɑːndəktɔːɹᵻɾi,dnɾɪkᵻiːəkvɑt,ᵻɔəikknɑːːɾtdɹ,nːitkɾədᵻɑkɪv,iːnɔɾədtkːɹɑkᵻ,ᵻnkiəːɾtɑkdɪv,iktᵻnɑːːdɾɔɹkə,ɑəːɪdktnɾkᵻvi,dɾtɹəɔkːnkɑᵻːi,itɾᵻəɪːdvɑknk,ntɹiːɑkkdːɾəɔᵻ
1798,1798,conductor,9,9,condictor,9,kəndʌktɚ,kəndɪktɚ,ktkdʌnɚə,ktnɚəɪdk,ʌdnktɚkə,əkdtɚknɪ,ɚʌtdkənk,ɪkəɚtndk,tkdəkʌɚn,əɚkɪdktn,kkɚʌdntə,ktdnkɪɚə
1799,1799,cone,4,3,cowp,3,koʊn,kaʊp,onkʊ,ʊakp,ʊonk,pʊak,ʊnok,kaʊp,ʊokn,kaʊp,okʊn,ʊakp
1800,1800,confederate,11,10,confilerant,11,kənfɛdɚɹət,kənfaɪlɚɹənt,ntɚdɹɛkəfə,əɚɹfnəɪklatn,ɹdəəɛtnkfɚ,tflaəɹkɪɚnən,ɹətənfdɛkɚ,ɚlnɹaəfəkɪnt,dnkətfɹəɛɚ,kətɪfnəaɹlnɚ,nəkdtɛɹəfɚ,aɹɪnəətnflɚk
1801,1801,confer,6,6,comler,6,kənfɜː,kəmlɜː,nkɜːfə,ləmkɜː,fkɜəːn,ɜəmkːl,fnəɜkː,mlːɜkə,nfɜkəː,mːəkɜl,əkɜnːf,kmːəɜl
1802,1802,conference,10,9,conforarce,9,kɑːnfɹəns,kənfɔːɹɑːɹs,nɹəɑfsːkn,ɑsːkɔɹəfɹnː,nnəkɑːsfɹ,ɹɔːkəsfɑːnɹ,ksnɑːnəfɹ,sfnːɹɹəkɔɑː,ːɑfnsəkɹn,ɹfɑəknɹɔsːː,ɑfksɹnːnə,fɑɔnsːəkɹɹː
1803,1803,confess,7,6,comfuss,6,kənfɛs,kʌmfʌs,fsəɛnk,ʌsʌmfk,fnɛəks,kmsfʌʌ,ɛskənf,kmʌfʌs,fəɛsnk,sfmʌkʌ,nskəɛf,fmʌʌks
1804,1804,confessor,9,8,confeddor,8,kənfɛsɚ,kənfɛdɔːɹ,ɛnskəfɚ,dfːɹɔɛəkn,nəfɛksɚ,ːkdɛfəɔnɹ,ksɛfɚən,dɛfnəɔɹkː,sənkɛfɚ,əɹːdnɔfɛk,ɚfkəɛns,ɛnkədɔɹːf
1805,1805,confetti,8,7,confemmi,7,kənfɛɾi,kənfɛmi,kɛfɾəin,nfikməɛ,ɛɾəfink,ɛfnmkiə,kinɛɾfə,kfənɛmi,əɛɾfink,mnfɛəki,əfkiɛnɾ,nfɛəkmi
1806,1806,confidant,9,9,confodint,9,kɑːnfɪdɑːnt,kənfɑːdɪnt,dfɑntnːkːɑɪ,nntfədɪɑːk,ɑknfɪndːtɑː,ənɑːfdktɪn,kːɑnːɑtfɪnd,kfdtːnəɑnɪ,ɑːknɪɑtdnfː,kdnɪɑːftən,knɪnːtɑdɑfː,nnɑtfːɪkdə
1807,1807,confide,7,6,comfade,6,kənfaɪd,kʌmfeɪd,nfkɪadə,ɪkedfmʌ,ədkfɪan,ɪmfʌdek,ɪfakdən,mʌɪkfed,knəɪafd,ʌɪmedkf,əfaɪdnk,fɪmekdʌ
1808,1808,confidence,10,9,confodance,9,kɑːnfɪdəns,kənfɑːdəns,sɪknndːɑfə,dfɑnːəknəs,ɪkfnɑsənːd,əəsːdɑknfn,nsːɪəɑdfkn,əɑsfdnnəkː,nədɑɪːnkfs,knɑːəsdfnə,nknfɑdsəːɪ,kːdəfnsɑnə
1809,1809,confident,9,9,confodunt,9,kɑːnfɪdənt,kənfɑːdʌnt,tənfkdɪɑːn,tfnkɑːnʌdə,tdɪnːkfnɑə,ndːəfnʌɑtk,ːɪntnkədɑf,ʌntkːənfɑd,fkɪɑənndtː,fɑːtdʌənkn,dntfɑknəːɪ,fkdətʌnːɑn
1810,1810,confidential,12,11,conrigenteur,11,kɑːnfɪdɛnʃəl,kənɹaɪdʒəntʊɹ,lɪəɛnnʃdːɑfk,ɪaəʊɹnəkɹdʒtn,ːnɪnɑdkʃfɛəl,ɹtɹədkəʒaɪʊnn,kɛfɪnnːəɑʃdl,ʒaɪnʊnɹdɹəktə,ːɛʃkdnlɑnəfɪ,nkəʒnɪaɹətdɹʊ,nɑʃːnkldfɪɛə,nadɪʊʒɹnkəɹtə
1811,1811,configuration,13,13,configonative,12,kənfɪɡjɚɹeɪʃən,kənfɪɡənətɪv,eɪɚfənkʃnɪəɡjɹ,tnɪəkfəɪvəɡn,ɚnnəfəjeɡɪɪʃɹk,vɪəɪəfətnnɡk,əʃəɪɚɪfɡɹknejn,nvfnɡɪɪəətkə,nɪɪəɡɹfeəʃɚnjk,ɡɪfɪvəntnəək,jʃəfɪɡəɹɚnenɪk,nəəɪənvɡtkɪf
1812,1812,confine,7,6,comfipe,6,kənfaɪn,kʌmfaɪp,nɪkanəf,ʌampfɪk,naənfkɪ,aɪfʌpmk,kfɪənna,ʌkpfamɪ,knɪəafn,mɪapʌfk,nənfkɪa,pfkmɪaʌ
1813,1813,confirm,7,7,comfarm,7,kənfɜːm,kʌmfɑːɹm,əmːfnɜk,kɑːmfɹʌm,əfmkːɜn,ɑmʌfɹːkm,fmɜəːkn,fɑɹmːʌmk,fənkmɜː,ːkʌɹmfɑm,əɜfkmːn,ɑkmɹfːʌm
1814,1814,confirmation,12,11,confacmitive,11,kɑːnfɚmeɪʃən,kənfækmᵻtɪv,ənɑkfɚːeʃɪnm,kmtnæfkᵻɪvə,ɑəːnfʃɚenmkɪ,ɪvfnəᵻtkkmæ,fnːkɑɪəʃenmɚ,kɪəmvnᵻkfæt,ːmnɪʃɚfkənɑe,nᵻkætfɪəvkm,ːnʃməkɪɚfenɑ,knvəkᵻftɪæm
1815,1815,confiscate,10,9,confuscale,10,kɑːnfɪskeɪt,kənfʌskeɪl,eɪːɑkstkɪfn,kəɪʌskenfl,ɪskeɪɑfntkː,ənskeʌɪkfl,ɪsɪɑfktnkeː,nkslfeəɪkʌ,tɑɪskekːfnɪ,nlkɪfəʌske,tɑːɪksnkɪef,fkənkɪeʌls
1816,1816,confiscation,12,11,confirgalive,10,kɑːnfɪskeɪʃən,kənfɜːɡəlɪv,ɑsʃfkɪnɪeknːə,əkəvɪlnɜːfɡ,ɪesfkʃɑɪnːənk,vlkəfːnɪɜəɡ,ɪnfəɪnʃkɑːsek,ɜəɡkfɪːəlvn,əʃknkfːɪnsɪeɑ,kɡːɜnfləɪvə,ɑksɪnfʃəɪːnke,kɡəɪɜlvəːfn
1817,1817,conflict,8,8,comflave,7,kɑːnflɪkt,kʌmfleɪv,tkɑfkɪnlː,mkɪeflʌv,lkɪfkntːɑ,mefvʌklɪ,ːnkkfɪlɑt,flʌmvɪek,nkɑktflɪː,kmfɪlveʌ,knːfɑltɪk,eɪʌkmflv
1818,1818,conform,7,7,comfail,6,kənfɔːɹm,kʌmfeɪl,ənɔɹfmːk,mleɪʌkf,əfɔːɹnkm,ʌlɪmekf,nmɹfəɔːk,ʌmɪefkl,nɹkfəmːɔ,lʌfeɪkm,nɔəkmfːɹ,lɪʌfmke
1819,1819,conformity,10,10,confortidy,10,kənfɔːɹmᵻɾi,kənfɔːɹɾɪdi,nəmᵻɾɔːkiɹf,niɹfkɪɾːdɔə,əɹfmᵻknːɔiɾ,idɔɾɹknɪːfə,ɔɾiᵻmənɹkfː,ɹɪkfəːniɾdɔ,ɔəɾᵻikfɹːmn,ɹiɾːfɔnɪədk,nəimkfːᵻɾɹɔ,əɹɪːfnɔɾidk
1820,1820,confront,8,8,comflint,8,kənfɹʌnt,kʌmflɪnt,ɹkfʌətnn,mlnʌɪftk,əʌtfɹnkn,fɪkʌnltm,nəfnkʌtɹ,mklntfʌɪ,fʌɹətnnk,kʌnmlɪft,ɹʌtnfkən,lnɪmfʌkt
1821,1821,confuse,7,7,comfase,6,kənfjuːz,kʌmfeɪs,jfkəːuzn,ɪkfmeʌs,znfuːkjə,fskmʌɪe,zkfəujnː,kfʌsɪme,zkfjnəuː,ɪeʌmfks,njzfkːəu,mfʌsɪke
1822,1822,confusion,9,9,confisive,8,kənfjuːʒən,kɑːnfaɪsɪv,fukəʒnəːnj,nɑːfvɪaɪsk,ənʒkuəjnfː,ɑvɪfsnɪaːk,unfʒknjəːə,ɑfɪasɪvkːn,ʒfnuəːjnkə,ɪɪkfsnːaɑv,ːəjuəʒnfkn,knfɑɪɪasːv
1823,1823,congenital,10,9,congeridal,10,kəndʒɛnɪɾəl,kəndʒɛɹɪdəl,lnənɛkdɪɾəʒ,əɪkdɛdʒləɹn,nɪdɾlɛənkəʒ,ɹəʒldɛkdɪnə,ɪdlnəʒəɛɾnk,əkʒɹəɪldnɛd,əʒklɪnɾdəɛn,ədləʒɪknɛdɹ,ɛnɾəʒəɪnldk,dlɪɛʒdknəɹə
1824,1824,congest,7,7,comgist,7,kəndʒɛst,kəmdʒɪst,ənɛsdkʒt,ʒsdtkməɪ,stʒndəkɛ,ətʒdmksɪ,tkndʒɛsə,sʒktɪmdə,kdtnʒɛsə,mʒstkdəɪ,skdtɛənʒ,mtkɪdsʒə
1825,1825,conglomerate,12,11,conglameraze,11,kəŋɡlɑːmɚɹeɪt,kəŋɡlæmɚɹeɪz,ɹmɪɑːŋɡɚteklə,zməlkɚŋɪeɹɡæ,mɪkɡəːŋleɚtɑɹ,ezɪæɡəlɹmɚŋk,teːɡkŋəɪɹlɑmɚ,ɡækeəɪlmzɹŋɚ,ŋtːəmleɹɪɑɚɡk,ŋmɡɹeɚzləæɪk,ɡɑltkmːɚɪŋeəɹ,lkɹzɪɡæmŋəeɚ
1826,1826,congratulate,12,11,conflecunate,12,kəŋɡɹætʃʊleɪt,kənflɛkəneɪt,tɪlæʊɡtʃeɹəŋk,əeɛkəlkfnɪtn,lɪɡʊætteəkʃɹŋ,lənəketknɛɪf,ʃtkəæɡteŋlʊɪɹ,əelntɪɛəkkfn,ktlŋʊeʃɡətæɹɪ,ɛəlefkntnəkɪ,ʊɪɡɹkelæʃtəŋt,lkeftəknɪəɛn
1827,1827,congregate,10,9,congrogale,9,kɑːŋɡɹɪɡeɪt,kəŋɡɹɑːɡeɪl,teɡːɹɪɡɪkŋɑ,ɑəŋːɡɹɪkɡel,ɡɪɪːŋkɹɑɡte,ɪːɡɹkəŋɑlɡe,ɹtɪɡŋːɪeɡkɑ,ɑeɹkɡːləɪŋɡ,ːɡɡkɹɑɪtɪŋe,lɑɪɹəŋkːɡeɡ,ɡkeɡːŋɹɪtɪɑ,ɪɡɡkːɑəeɹŋl
1828,1828,congregation,12,11,contlerative,11,kɑːŋɡɹɪɡeɪʃən,kɑːntəlɹæɾɪv,ɪɑʃeəɡkːɹɡŋnɪ,tlːɑæɹəɾɪvnk,ʃɹɡnəŋɪɑɡkːɪe,ːɹænɑtklɪəɾv,nɡŋɹɡəkɑɪːeʃɪ,lkɑætɹɪvəːnɾ,eɹɪɪkːɡʃŋnɡəɑ,ntɑɪæːɹvləkɾ,eɑŋɪːʃnɡɪɡɹkə,tæɑɾnlkɪːvəɹ
1829,1829,congress,8,7,comgrass,7,kɑːŋɡɹəs,kəmɡɹæs,əɑɹksɡŋː,səmækɹɡ,sɡɑŋːəkɹ,əmkɹsæɡ,kɹːəɡsɑŋ,əæmɡɹks,ɑːsɹɡəkŋ,mksɹəæɡ,ɡɹɑːŋəks,kɡæəɹms
1830,1830,congressional,13,11,congradstipal,13,kəŋɡɹɛʃənəl,kəŋɡɹædstɪpəl,ɹʃləəŋɡɛənk,ɡkŋsləəætpɪdɹ,əəʃkɛlnɡəŋɹ,ɡdətŋɪpəlkɹæs,lɛŋənʃɹkəɡə,əsɡɪdæɹpətŋlk,ʃnləŋəkɛəɹɡ,sɡəlɹdæəɪŋtkp,ʃləɹŋɡkɛnəə,ækədtɡɪlpsŋɹə
1831,1831,congressman,11,10,congrassmin,10,kɑːŋɡɹəsmən,kəŋɡɹæsmɪn,əsŋəɡknɹmɑː,ŋæmsɪəɹnkɡ,kɑnŋɹːəəmɡs,ɡnmkəɹsæŋɪ,ɑɡəmkːɹŋsən,knmŋɪɹæsɡə,ɡɹŋəɑnːəskm,mæɡksənŋɪɹ,ɡɑmŋəːkəɹns,smɪkŋəɡɹnæ
1832,1832,congruence,10,9,congroenes,9,kɑːŋɡɹuːəns,kəŋɡɹoʊnz,ɑuknŋɹəɡːːs,ɡkəɹzŋnoʊ,kɡɹŋːəːunsɑ,knŋɡʊɹzəo,ɡskɑːːnuəŋɹ,kzŋəɹnoʊɡ,sːɡɑnːkŋuəɹ,əʊkŋzoɡɹn,usɡːɹɑnːŋkə,oʊɹkɡnzŋə
1833,1833,conjecture,10,9,conjictude,10,kəndʒɛktʃɚ,kəndʒɪktuːd,ɚtʒʃədkkɛn,kːdɪʒudətkn,ədɚnɛkʒktʃ,nːtəddɪkukʒ,kʒɚʃɛəndkt,kkdtdʒːuənɪ,əɛɚntdkʒkʃ,ətːʒɪdudknk,dtkkʒənɚɛʃ,dːəuntʒdkɪk
1834,1834,conjugate,9,8,conjogale,8,kɑːndʒuːɡeɪt,kəndʒɑːɡeɪl,tʒndɑkːeɪɡːu,ʒelɪəːɡkdɑn,ɑɡdʒːtneɪukː,ədɡenɑlʒɪːk,tʒukɡnɪdeːɑː,ɪɡkːɑənʒlde,ʒtuɪɡːndekːɑ,əʒːeɑɡɪdnkl,ɪːːdɡkntʒuɑe,kɑɡʒɪdlːəen
1835,1835,conjugation,11,10,conjutative,10,kɑːndʒuːɡeɪʃən,kəndʒuːɾətɪv,nɪəuɡɑːknːdʒeʃ,ɾvnɪdtːkʒəəu,ɡnuəːʃɑɪeʒdknː,ʒvːnətɾɪukəd,nʒəɡɑːukɪdːeʃn,tvudːʒəɪəɾkn,kʒnɑeɪnːduʃəːɡ,uɾɪkədvtːʒnə,ːnnːɑkɪʒɡeʃuəd,ːɾdkəuʒvtəɪn
1836,1836,conjunction,11,10,conjomptive,10,kəndʒʌŋkʃən,kəndʒɑːmptɪv,kŋdʌnnəəʒʃk,tnəmɑdːɪʒkvp,nʒkdŋnəəkʃʌ,ʒɑdvmːəɪtnpk,ŋʒkənʌnədʃk,əɪkmtːnʒɑpdv,ʃnkʒəŋənʌdk,dɪtkʒəːmvnɑp,kkəʌʒdnənŋʃ,əʒːɑnkvdmɪtp
1837,1837,connect,7,6,cossect,6,kənɛkt,kɑːsɛkt,ɛnktək,stːkɛkɑ,əknɛkt,ɛkksːɑt,kəntkɛ,ɛkstɑːk,kɛnktə,ːsɑɛktk,əɛnktk,skɑːɛkt
1838,1838,connotation,11,9,connatutive,10,kɑːnəteɪʃən,kənæɾuːtɪv,əteɑɪknəːnʃ,əvækɾntɪːu,eknnəʃəːɑɪt,əkvːuntæɾɪ,nkɑnəəʃɪːet,ɪvtnəækːuɾ,eːɑʃnəktɪən,kɾutɪːnəvæ,nəəetʃnkɑːɪ,ətævːunɪkɾ
1839,1839,connotative,11,9,connitutist,11,kɑːnətæɾɪv,kənɪɾuːtɪst,nkɾəɪtæɑvː,ətuɪɾstnkːɪ,kːtəɑɾɪævn,tənstɪːuɾɪk,ːəvɑɪæktɾn,ːɪkɾsəttɪun,ktnəævːɑɾɪ,ɾnɪttɪksːuə,næəɾɑtvɪːk,ktnɪuɾətsːɪ
1840,1840,conquer,7,6,comgrer,7,kɑːŋkɚ,kɑːmɡɹə,kŋkɚːɑ,əɑɡɹːmk,kŋɚɑkː,ːkɑɡməɹ,ːŋɚɑkk,kːəmɡɹɑ,ŋkkɚːɑ,kəɑmɹɡː,ːŋkɚɑk,əːɹɑkmɡ
1841,1841,conquest,8,8,comquist,8,kɑːŋkwɛst,kəmkwɪst,kŋːɛwstkɑ,kəswɪktm,ɛtkwsŋkɑː,ksɪkəwtm,ːtŋɑkwksɛ,ətɪkkswm,ɑwkŋtsɛkː,kɪmskətw,ɛsɑːŋtwkk,ətmkwɪsk
1842,1842,conscience,10,7,comshieves,7,kɑːnʃəns,kəmʃiːvz,nʃəɑːkns,ʃkmvːəzi,ənɑʃsnːk,ːʃizmvək,nnskəɑʃː,əʃizvmːk,nsəkʃɑnː,kivzmːəʃ,nʃskːɑnə,mʃkvziːə
1843,1843,conscious,9,6,comstrous,8,kɑːnʃəs,kəmstɹuːz,nəsʃkɑː,tzːmkuəɹs,ʃːəɑnks,ːɹtmuzəsk,ɑːʃnkəs,uztəmɹksː,nʃːəkɑs,təsɹːmzku,nɑʃːskə,umətzsɹːk
1844,1844,consecutive,11,11,consitutics,12,kənsɛkjuːtɪv,kɑːnsɪtuːɾɪks,unːəjkvktsɛɪ,ɾːɪsntɑkːusɪk,ːkktvsnɪjəuɛ,sɾɪɑkːɪtsːunk,vskujɛɪːtənk,kkɾsuɑːːɪnstɪ,vɪkukəɛnjtːs,utsːnɪɑsːɪɾkk,ktuvskɛjənːɪ,sːkɑntɾkuɪsːɪ
1845,1845,consensus,9,9,consinpus,9,kənsɛnsəs,kənsɪnpəs,ɛssnnksəə,nsnəɪsəpk,ssnəɛsəkn,skɪpnəsən,əɛssnksən,pəɪkəsnsn,snkəɛssnə,ɪəkəsspnn,ɛskənnssə,knənsəpɪs
1846,1846,consent,7,7,comsate,6,kənsɛnt,kəmseɪt,ɛtnəksn,ektsɪəm,ɛtksnən,tsemɪək,skntənɛ,tesmkəɪ,nnktɛsə,teməkɪs,sɛtnnək,eəɪmtsk
1847,1847,consequence,11,10,consoquerce,10,kɑːnsɪkwəns,kənsɑːkwɚs,sɑɪsnknwkəː,sːɚnwskɑkə,kəɑkːɪnwnss,ɑəkɚnwkːss,ənɑssnkwkɪː,ɚsɑwknəkːs,sɪsknɑənkːw,nskːswɚkəɑ,kɑːnənɪkssw,nɚːkswɑskə
1848,1848,consequently,12,12,consoquintry,12,kɑːnsɪkwəntli,kənsɑːkwɪntɹi,kswəiktɑlnɪnː,twkənksɑiːnɪɹ,klənkɑɪnːstwi,ɪtːɹsɑnkwiənk,tsːnwlkkɪɑəni,tskəiːwnɑnɪɹk,lnːkwtɑknɪəsi,tnkəsɑnwɪikɹː,lɑiknɪtnːsəwk,ɹəːɑnkntiɪswk
1849,1849,conservation,12,11,consetnative,11,kɑːnsɚveɪʃən,kənsɛtnətɪv,eʃəskvnɚɑnɪː,vknɪtəɛntsə,vːnɪəɚkɑesʃn,tsɪtvɛənəkn,ːnʃseɚəɪɑvnk,ɛɪəkvstntnə,ɑksenːɚɪʃnəv,vnɛstɪətkən,nəkʃseɪːɑvɚn,nəətɛntɪsvk
1850,1850,conservatory,12,12,conservotomy,12,kənsɜːvətɔːɹi,kɑːnsɚvɑːɾəmi,inɹəəstkːvɔɜː,ɾiɑmənvːsːɚɑk,iəvəɹtɔnːɜːsk,ɑəɚnkɑɾivːːsm,itɜːəkvɹːɔnəs,imɚəkːnɾɑsvːɑ,əntɔəɜsːvɹːik,ːɾnəivkɚɑmːsɑ,səvɜɹːintəɔkː,mnːɚɑəɑsvɾiːk
1851,1851,conserve,8,7,comselve,7,kənsɜːv,kəmsɛlv,kːəɜvsn,mkɛlvsə,səvɜknː,səɛlmvk,vkəɜsnː,vlsmkɛə,ːvnɜkəs,ɛlkmvsə,əːskɜnv,səlmɛvk
1852,1852,consider,8,8,consaden,8,kənsɪdɚ,kənsædən,dɪnkəsɚ,nəksdænə,əɚɪsndk,æəndsnək,nɚɪdsək,dksəæənn,dənsɪkɚ,ədənæskn,ɚɪnsdək,nənəædks
1853,1853,consist,7,7,comsust,7,kənsɪst,kəmsʌst,skɪtəsn,sməskʌt,snɪtəks,ʌsktmsə,stɪnəsk,sstəkʌm,ətsɪkns,kəsmʌst,stnsɪkə,tsmskəʌ
1854,1854,consolation,11,10,considative,10,kɑːnsəleɪʃən,kənsɪdətɪv,əelsɪːnəɑknʃ,ɪəəsktdnɪv,əʃnɪəːnelkɑs,vɪəsdktəɪn,lsənəɪɑkːneʃ,nkɪdəɪstvə,kəʃɑeɪnlsəːn,ɪstvdkɪnəə,eəkənːɑɪslnʃ,əvɪsɪnəktd
1855,1855,console,7,6,comsale,6,kɑːnsoʊl,kəmseɪl,snʊoːɑkl,keɪsəml,sloʊknɑː,eəɪlskm,sːnoʊlɑk,əmɪeksl,snkoɑlːʊ,mlɪsekə,ːsnlʊokɑ,məeslɪk
1856,1856,consolidate,11,10,concalidess,10,kənsɑːlᵻdeɪt,kəŋkælaɪdɛs,dtslenːkɑəɪᵻ,ɛdkəæŋksaɪl,ːkɪdəeᵻɑlnst,əŋlsækkaɛɪd,sdənelɑtɪːᵻk,alɛsŋdəkkɪæ,tnɑlᵻkdːeəɪs,laŋɛədkkɪsæ,enɑᵻstlɪːədk,klkŋsɛaədæɪ
1857,1857,conspicuous,11,11,conspocious,10,kənspɪkjuːəs,kənspoʊʃəs,jkskpɪːusənə,soʃpʊskənə,spəuːjsənɪkk,pksəəsnʊʃo,skəjəkɪːpusn,ʃnʊskəposə,pəəsuɪnkːsjk,osʃnəkʊəsp,jɪupnːəkkssə,pəʊssnʃokə
1858,1858,conspiracy,10,10,consparaty,10,kənspɪɹəsi,kənspæɹəɾi,ɪɹpkənisəs,ɹksnəæɾəpi,ispsəɹkənɪ,ɹɾəksiəæpn,kiənsɹɪsəp,skæəɾpniɹə,əəɹspɪknsi,kəəisnpɾæɹ,nəsəɪɹipks,əəɾnikæspɹ
1859,1859,conspire,8,8,comspite,7,kənspaɪɚ,kəmspaɪt,sɪaəɚknp,təkmɪspa,ɚsəkaɪnp,ɪstpkamə,kɪpaəsɚn,əɪapksmt,ksɪnəpɚa,əaptsɪkm,nɪaskɚəp,səpmaktɪ
1860,1860,constable,9,9,constuple,9,kɑːnstəbəl,kənstuːpəl,lntːəsɑbkə,nkːuəətslp,ɑkntːəsləb,ːnlsptəkuə,ktəɑːnsəbl,əskːtəplun,kəstəɑːlnb,əəsklptːnu,bsknːɑələt,ləstːpkunə
1861,1861,constancy,9,9,constinpy,9,kɑːnstənsi,kənstɪnpi,kntəiːsɑsn,nəpsitɪnk,ɑkiəstːnsn,tpsənnɪki,snntːisɑək,ptəsknɪni,sːntiənɑsk,tnɪsəipkn,sknsəntiːɑ,ɪəkpsnnit
1862,1862,constellation,13,11,constarlitive,12,kɑːnstɪleɪʃən,kənstɑːɹlᵻtɪv,ekɪəɪnsːʃtɑln,tvsəltknᵻɑːɹɪ,sɑkɪɪləːnnʃte,vtkːᵻɪsɑəlɹnt,keʃtənsɪɪɑlnː,ɑlːkᵻənvtɹɪts,ɪɪnːentʃɑəksl,kɹvːɪsləᵻttnɑ,nɑɪtnʃɪklsːeə,tːsləɑɪɹnᵻtvk
1863,1863,constipate,10,9,constopale,9,kɑːnstᵻpeɪt,kənstɑːpeɪl,tkᵻnetːsɑɪp,ənlsptkːɑɪe,tɑkpːnᵻsteɪ,etnpksəɪɑːl,ttspᵻɑːeɪkn,ɑənɪːelstkp,sːkᵻtɪɑpent,kːsepnəɑltɪ,ɑkᵻtɪːenstp,əpntːɑɪklse
1864,1864,constipation,12,11,constudative,12,kɑːnstɪpeɪʃən,kənstuːdətɪv,epnsːnɑtkəɪɪʃ,tunvɪsəkdtːə,ːptnsɪeɑəɪknʃ,kdːntuɪsəvət,nɑəɪːpʃɪtnesk,təvɪktənːuds,ɑnʃːtsəknepɪɪ,vttdknːəɪuəs,ɑktennːʃəɪɪps,ntəkvtːdəsɪu
1865,1865,constituency,12,12,constanuendy,13,kənstɪtʃuːənsi,kɑːnstɐnjuːɛndi,ːʃɪntətikəsusn,ɑɛːsnɐdinktuːjn,kinːəsəɪʃnstut,unnɛsːɐːidtkɑnj,snːktnəstuəɪiʃ,jdːntsnɐiuɑnɛkː,əʃssntiəkuɪːnt,ɑdnːiɛntjuskːnɐ,isnʃktənːsɪutə,dinnjɛɐkɑːstːun
1866,1866,constitute,10,10,constotate,9,kɑːnstɪtuːt,kənstoʊɾeɪt,utɪtnːtɑːks,ektɪʊonəɾst,nɪːtttkːɑus,tsnkətʊɪɾoe,kːtuːtɑsɪtn,ənɪɾʊeoktts,tkɪːuɑtsːnt,seətʊnɾotkɪ,ːsɪttɑtuːnk,teɪɾotskʊən
1867,1867,constitution,12,12,consistative,11,kɑːnstɪtuːʃən,kənsɪstətɪv,ətːtɑːnɪnukʃs,ntsəɪəvsktɪ,ɑstːunʃːətnkɪ,ɪɪttəkvəssn,tukːnɑːʃtɪsən,knɪətvɪəsts,kːtɪːsʃnuɑətn,ɪvktsəstnɪə,ːʃɑnnuːɪtstkə,tɪsəətɪvkns
1868,1868,constrain,9,8,comsprain,8,kənstɹeɪn,kəmspɹeɪn,ɹesətnnɪk,peɪɹnsmkə,ɪktesəɹnn,pɪenkəmɹs,tnəɪkesnɹ,emənɪkpɹs,sɹeɪnənkt,ɪəeknspmɹ,nkəɹɪtnse,əmkɪspɹen
1869,1869,constrict,9,9,comstrave,8,kənstɹɪkt,kəmstɹeɪv,kɹttkɪəns,ɪvkəmtsɹe,ənsɪkɹtkt,sɪɹkveəmt,ɪɹətsktnk,ekvtməɹɪs,əkktɪstnɹ,mɹevətɪsk,kɪstɹnəkt,svəkɪɹtme
1870,1870,construct,9,9,comstrock,8,kɑːnstɹʌkt,kəmstɹɑːk,ɑɹnstkʌːtk,kɑsməɹtːk,ɑtnktːʌsɹk,ːmskkɑɹət,ɹtktːnsʌɑk,mksəkɹtːɑ,ktːɑsʌtɹnk,kəːtɹɑksm,ɹktsntkːɑʌ,ɹːmktksɑə
1871,1871,construction,12,11,constroctave,11,kənstɹʌkʃən,kənstɹɑːkteɪv,ɹkʌəsʃntəkn,nvteɪtːɑəsɹkk,əsnnəʃʌtɹkk,ːvɹtkɑkensɪət,ənsʃtʌɹkkən,əɹːɑtvetksnkɪ,kʌtkʃnsɹnəə,ːvkɪɹɑnəstekt,nkʌntəʃkɹsə,tɑvtːɪskɹəekn
1872,1872,consult,7,7,comfult,7,kənsʌlt,kʌmfʌlt,ʌtknslə,tmfkʌʌl,nʌəlkts,ʌʌkflmt,tʌləkns,ktfʌʌml,sʌklətn,mtʌklfʌ,tkəlsnʌ,tmʌʌkfl
1873,1873,consultation,12,11,consorcative,11,kɑːnsəlteɪʃən,kənsɔːɹkətɪv,tsenʃɪnːləɑək,stnəkɔɹːəɪvk,leɪɑəsnəːktʃn,ɔɹsːvnɪktəkə,ənlːsnʃkəteɪɑ,tɔnəkːvɪɹsək,əɪɑtəlkeʃnːns,skɔɪnkəəɹvːt,nleɑksːnətəɪʃ,ɪvkəɔstːnəɹk
