,word_us,word_length,n_phon,nonword,n_phon_nw,Unnamed: 5,ipa_words,ipa_nonwords
1671,color,5,5,culen,6,,kʌlɚ,kjʊlən
1672,coloration,10,9,colonative,9,,kʌlɚɹeɪʃən,kɑːlənətɪv
1673,colored,7,6,culened,6,,kʌlɚd,kjʊlənd
1674,colossal,8,7,colissan,7,,kəlɔsəl,kɑːlɪsən
1675,colossus,8,7,colissis,7,,kəlɔsəs,kəlɪsɪs
1676,column,6,5,culoom,5,,kɑːlʌm,kjʊluːm
1677,columnist,9,9,colimnast,9,,kɑːləmnɪst,kɑːlɪmnæst
1678,coma,4,4,cumo,5,,koʊmə,kuːmoʊ
1679,comb,4,3,zomb,3,,koʊm,zɑːm
1680,combat,6,6,codbit,6,,kɑːmbæt,kɑːdbɪt
1681,combative,9,8,combitave,8,,kəmbæɾɪv,kəmbɪɾeɪv
1682,combination,11,10,componitive,10,,kɑːmbᵻneɪʃən,kəmpɑːnᵻtɪv
1683,combine,7,6,codbock,6,,kəmbaɪn,kɑːdbɑːk
1684,combo,5,5,codba,5,,kɑːmboʊ,kɑːdbə
1685,combust,7,7,codbist,7,,kəmbʌst,kɑːdbɪst
1686,combustible,11,11,combistably,11,,kəmbʌstᵻbəl,kəmbɪstəbli
1687,come,4,3,coip,3,,kʌm,kɔɪp
1688,comeback,8,6,cothtack,6,,kʌmbæk,kɑːθtæk
1689,comedian,8,8,comorien,8,,kəmiːdiən,kəmɔːɹiən
1690,comedy,6,6,comepy,6,,kɑːmədi,kəmɛpi
1691,comet,5,5,cobet,5,,kɑːmɪt,kɑːbɪt
1692,comfort,7,7,camfall,6,,kʌmfɚt,kæmfɔːl
1693,comfortable,11,10,comfictanle,11,,kʌmftəbəl,kʌmfɪktænəl
1694,comforter,9,9,comfarten,9,,kʌmfɚɾɚ,kʌmfɑːɹʔn̩
1695,comic,5,5,camid,5,,kɑːmɪk,kæmɪd
1696,coming,6,5,caming,5,,kʌmɪŋ,keɪmɪŋ
1697,comma,5,4,camma,4,,kɑːmə,kæmə
1698,command,7,6,cammesh,5,,kəmænd,kæmɛʃ
1699,commandant,10,9,commindart,9,,kɑːmɐndɑːnt,kəmaɪndɑːɹt
1700,commandeer,10,8,commindoor,8,,kɑːmɐndɪɹ,kəmaɪndɔːɹ
1701,commander,9,8,comminden,8,,kəmændɚ,kəmaɪndən
1702,commandment,11,10,commindmint,10,,kəmændmənt,kəmaɪndmɪnt
1703,commemorate,11,9,commatodate,9,,kəmɛmɚɹeɪt,kəmæɾədeɪt
1704,commence,8,6,cammince,6,,kəmɛns,kæmɪns
1705,commend,7,6,cammind,6,,kəmɛnd,kæmaɪnd
1706,commendation,12,10,commarditive,10,,kɑːməndeɪʃən,kəmɑːɹdᵻtɪv
1707,comment,7,6,coppent,6,,kɑːmɛnt,kɑːpənt
1708,commentary,10,9,commordary,9,,kɑːməntɛɹi,kəmɔːɹdɚɹi
1709,commerce,8,6,codderce,6,,kɑːmɜːs,kɑːdɚs
1710,commercial,10,8,commorcian,9,,kəmɜːʃəl,kəmɔːɹʃiən
1711,commission,10,7,commussoon,8,,kəmɪʃən,kɑːməsuːn
1712,commit,6,5,cammut,5,,kəmɪt,kæmʌt
1713,committee,9,6,commuttoo,6,,kəmɪɾi,kəmʌɾuː
1714,common,6,5,cammin,5,,kɑːmən,kæmɪn
1715,commonplace,11,9,comminplade,9,,kɑːmənpleɪs,kəmɪnpleɪd
1716,commotion,9,7,commatoon,7,,kəmoʊʃən,kɑːmɐtuːn
1717,communal,8,8,commoral,7,,kəmjuːnəl,kəmɔːɹəl
1718,commune,7,6,cammane,5,,kɑːmjuːn,kæmeɪn
1719,communicable,12,12,communacobly,12,,kəmjuːnɪkəbəl,kəmjuːnɐkɑːbli
1720,communicate,11,10,commorilate,9,,kəmjuːnᵻkeɪt,kəmɔːɹᵻleɪt
1721,communion,9,9,comminion,8,,kəmjuːniən,kəmɪniən
1722,communism,9,10,commatics,8,,kɑːmjuːnɪzəm,kəmæɾɪks
1723,communistic,11,11,comminatric,10,,kɑːmjuːnɪstɪk,kɑːmɪnætɹɪk
1724,community,9,9,commonady,8,,kəmjuːnᵻɾi,kɑːmənædi
1725,commute,7,6,cammate,5,,kəmjuːt,kæmeɪt
1726,compact,7,7,campart,7,,kəmpækt,kæmpɑːɹt
1727,companion,9,9,compinion,9,,kəmpæniən,kəmpɪniən
1728,company,7,7,compumy,8,,kʌmpəni,kəmpʌmi
1729,comparable,10,10,comsutably,10,,kɑːmpɚɹəbəl,kəmsuːɾəbli
1730,comparative,11,10,companation,11,,kəmpæɹətɪv,kɑːmpɐneɪʃən
1731,compare,7,6,campave,6,,kəmpɛɹ,kæmpeɪv
1732,compass,7,6,campess,6,,kʌmpəs,kæmpɛs
1733,compassion,10,8,compallion,9,,kəmpæʃən,kəmpæliən
1734,compatible,10,10,compinibly,10,,kəmpæɾᵻbəl,kəmpaɪnᵻbli
1735,compel,6,6,cimfel,6,,kəmpɛl,sɪmfəl
1736,compensate,10,9,compinsale,9,,kɑːmpənseɪt,kəmpɪnseɪl
1737,compensation,12,11,compardative,11,,kɑːmpənseɪʃən,kəmpɑːɹdətɪv
1738,compete,7,6,campeve,6,,kəmpiːt,kæmpɛv
1739,competence,10,9,compotarce,9,,kɑːmpɪtəns,kəmpɑːɾɑːɹs
1740,competition,11,10,comtaritive,10,,kɑːmpətɪʃən,kəmtɑːɹɹᵻtɪv
1741,competitive,11,10,compaditism,11,,kəmpɛɾᵻtɪv,kəmpædɪtɪzəm
1742,competitor,10,10,comparigor,10,,kəmpɛɾɪɾɚ,kəmpæɹɪɡɚ
1743,compile,7,6,campail,6,,kəmpaɪl,kæmpeɪl
1744,complain,8,7,camplait,7,,kəmpleɪn,kæmpleɪt
1745,complement,10,10,complomint,10,,kɑːmplɪmənt,kəmplɑːmɪnt
1746,complementary,13,13,compleminbary,13,,kɑːmplɪmɛntɚɹi,kɑːmplɪmɪnbɚɹi
1747,complete,8,7,campleve,7,,kəmpliːt,kæmplɛv
1748,complex,7,8,camplus,7,,kɑːmplɛks,kæmpləs
1749,complexion,10,10,compluxion,10,,kəmplɛkʃən,kəmplʌkʃən
1750,complexity,10,11,complarigy,10,,kəmplɛksᵻɾi,kəmplɑːɹɹɪdʒi
1751,compliance,10,9,comtriants,10,,kəmplaɪəns,kəmtɹɪənts
1752,complicate,10,9,complucale,9,,kɑːmplᵻkeɪt,kəmpluːkeɪl
1753,complication,12,11,compracitive,11,,kɑːmplɪkeɪʃən,kəmpɹæsᵻtɪv
1754,comply,6,6,campry,6,,kəmplaɪ,kæmpɹi
1755,component,9,9,compunint,10,,kəmpoʊnənt,kəmpjuːnɪnt
1756,compose,7,6,campore,6,,kəmpoʊz,kæmpɔːɹ
1757,composite,9,8,compisive,8,,kəmpɑːzɪt,kəmpaɪsɪv
1758,composition,11,10,compuditive,11,,kɑːmpəzɪʃən,kəmpjuːdᵻtɪv
1759,composure,9,8,compusare,8,,kəmpoʊʒɚ,kəmpjuːsɛɹ
1760,compound,8,7,campouse,6,,kɑːmpaʊnd,kæmpaʊs
1761,comprehend,10,10,comprohind,10,,kɑːmpɹihɛnd,kəmpɹoʊhaɪnd
1762,compress,8,7,camprest,8,,kəmpɹɛs,kæmpɹɛst
1763,compromise,10,9,compremase,9,,kɑːmpɹəmaɪz,kəmpɹɛmeɪs
1764,compulsion,10,9,compolsoon,9,,kəmpʌlʃən,kɑːmpəlsuːn
1765,computation,11,11,comralative,10,,kɑːmpjuːteɪʃən,kɑːmɹɐlətɪv
1766,compute,7,7,campate,6,,kəmpjuːt,kæmpeɪt
1767,computer,8,9,computon,9,,kəmpjuːɾɚ,kəmpjuːtən
1768,comrade,7,6,camride,6,,kɑːmɹæd,kæmɹaɪd
1769,con,3,3,zon,3,,kɑːn,zɑːn
1770,concave,7,6,comcane,6,,kɑːŋkeɪv,kɑːmkeɪn
1771,concavity,9,9,concapidy,9,,kəŋkævᵻɾi,kəŋkæpɪdi
1772,conceal,7,6,comcear,6,,kənsiːl,kɑːmsɪɹ
1773,concede,7,6,comcode,6,,kənsiːd,kɑːmkoʊd
1774,conceit,7,6,comsoot,6,,kənsiːt,kəmsʊt
1775,conceive,8,6,comceart,7,,kənsiːv,kɑːmsɪɹt
1776,concentrate,11,10,conceltrace,10,,kɑːnsəntɹeɪt,kəŋkɛltɹeɪs
1777,concentration,13,12,concerprative,12,,kɑːnsəntɹeɪʃən,kənsɜːpɹətɪv
1778,concept,7,7,comcipt,7,,kɑːnsɛpt,kɑːmsɪpt
1779,conception,10,9,conceltive,9,,kənsɛpʃən,kəŋkɛltɪv
1780,concern,7,7,comcorn,7,,kənsɜːn,kɑːmkɔːɹn
1781,concert,7,7,comcert,7,,kɑːnsɚt,kɑːmsɚt
1782,concession,10,8,concellion,9,,kənsɛʃən,kənsɛliən
1783,conclude,8,7,comcrude,7,,kəŋkluːd,kɑːmkɹuːd
1784,conclusion,10,9,conclasive,9,,kəŋkluːʒən,kəŋkleɪsɪv
1785,concrete,8,7,comprate,7,,kɑːŋkɹiːt,kəmpɹeɪt
1786,concur,6,6,compur,6,,kəŋkɜː,kəmpɜː
1787,concussion,10,8,concullion,9,,kəŋkʌʃən,kəŋkʌliən
1788,condemn,7,6,comdame,6,,kəndɛm,kəmdeɪm
1789,condemnation,12,11,condersative,10,,kɑːndɛmneɪʃən,kəndɛəsətɪv
1790,condensation,12,11,condarsetive,11,,kɑːndɛnseɪʃən,kəndɑːɹsɪtɪv
1791,condense,8,7,comdance,7,,kəndɛns,kəmdæns
1792,condiment,9,9,condomint,9,,kɑːndɪmənt,kɑːndəmɪnt
1793,condition,9,8,condotive,8,,kəndɪʃən,kɑːndətɪv
1794,condolence,10,9,condulerce,10,,kəndoʊləns,kənduːlɚs
1795,condominium,11,11,condimatiam,11,,kɑːndəmɪniəm,kɑːndɪmeɪʃæm
1796,conduct,7,7,comdeck,6,,kɑːndʌkt,kəmdɛk
1797,conductivity,12,12,conductority,12,,kɑːndəktɪvᵻɾi,kɑːndəktɔːɹᵻɾi
1798,conductor,9,9,condictor,9,,kəndʌktɚ,kəndɪktɚ
1799,cone,4,3,cowp,3,,koʊn,kaʊp
1800,confederate,11,10,confilerant,11,,kənfɛdɚɹət,kənfaɪlɚɹənt
1801,confer,6,6,comler,6,,kənfɜː,kəmlɜː
1802,conference,10,9,conforarce,9,,kɑːnfɹəns,kənfɔːɹɑːɹs
1803,confess,7,6,comfuss,6,,kənfɛs,kʌmfʌs
1804,confessor,9,8,confeddor,8,,kənfɛsɚ,kənfɛdɔːɹ
1805,confetti,8,7,confemmi,7,,kənfɛɾi,kənfɛmi
1806,confidant,9,9,confodint,9,,kɑːnfɪdɑːnt,kənfɑːdɪnt
1807,confide,7,6,comfade,6,,kənfaɪd,kʌmfeɪd
1808,confidence,10,9,confodance,9,,kɑːnfɪdəns,kənfɑːdəns
1809,confident,9,9,confodunt,9,,kɑːnfɪdənt,kənfɑːdʌnt
1810,confidential,12,11,conrigenteur,11,,kɑːnfɪdɛnʃəl,kənɹaɪdʒəntʊɹ
1811,configuration,13,13,configonative,12,,kənfɪɡjɚɹeɪʃən,kənfɪɡənətɪv
1812,confine,7,6,comfipe,6,,kənfaɪn,kʌmfaɪp
1813,confirm,7,7,comfarm,7,,kənfɜːm,kʌmfɑːɹm
1814,confirmation,12,11,confacmitive,11,,kɑːnfɚmeɪʃən,kənfækmᵻtɪv
1815,confiscate,10,9,confuscale,10,,kɑːnfɪskeɪt,kənfʌskeɪl
1816,confiscation,12,11,confirgalive,10,,kɑːnfɪskeɪʃən,kənfɜːɡəlɪv
1817,conflict,8,8,comflave,7,,kɑːnflɪkt,kʌmfleɪv
1818,conform,7,7,comfail,6,,kənfɔːɹm,kʌmfeɪl
1819,conformity,10,10,confortidy,10,,kənfɔːɹmᵻɾi,kənfɔːɹɾɪdi
1820,confront,8,8,comflint,8,,kənfɹʌnt,kʌmflɪnt
1821,confuse,7,7,comfase,6,,kənfjuːz,kʌmfeɪs
1822,confusion,9,9,confisive,8,,kənfjuːʒən,kɑːnfaɪsɪv
1823,congenital,10,9,congeridal,10,,kəndʒɛnɪɾəl,kəndʒɛɹɪdəl
1824,congest,7,7,comgist,7,,kəndʒɛst,kəmdʒɪst
1825,conglomerate,12,11,conglameraze,11,,kəŋɡlɑːmɚɹeɪt,kəŋɡlæmɚɹeɪz
1826,congratulate,12,11,conflecunate,12,,kəŋɡɹætʃʊleɪt,kənflɛkəneɪt
1827,congregate,10,9,congrogale,9,,kɑːŋɡɹɪɡeɪt,kəŋɡɹɑːɡeɪl
1828,congregation,12,11,contlerative,11,,kɑːŋɡɹɪɡeɪʃən,kɑːntəlɹæɾɪv
1829,congress,8,7,comgrass,7,,kɑːŋɡɹəs,kəmɡɹæs
1830,congressional,13,11,congradstipal,13,,kəŋɡɹɛʃənəl,kəŋɡɹædstɪpəl
1831,congressman,11,10,congrassmin,10,,kɑːŋɡɹəsmən,kəŋɡɹæsmɪn
1832,congruence,10,9,congroenes,9,,kɑːŋɡɹuːəns,kəŋɡɹoʊnz
1833,conjecture,10,9,conjictude,10,,kəndʒɛktʃɚ,kəndʒɪktuːd
1834,conjugate,9,8,conjogale,8,,kɑːndʒuːɡeɪt,kəndʒɑːɡeɪl
1835,conjugation,11,10,conjutative,10,,kɑːndʒuːɡeɪʃən,kəndʒuːɾətɪv
1836,conjunction,11,10,conjomptive,10,,kəndʒʌŋkʃən,kəndʒɑːmptɪv
1837,connect,7,6,cossect,6,,kənɛkt,kɑːsɛkt
1838,connotation,11,9,connatutive,10,,kɑːnəteɪʃən,kənæɾuːtɪv
1839,connotative,11,9,connitutist,11,,kɑːnətæɾɪv,kənɪɾuːtɪst
1840,conquer,7,6,comgrer,7,,kɑːŋkɚ,kɑːmɡɹə
1841,conquest,8,8,comquist,8,,kɑːŋkwɛst,kəmkwɪst
1842,conscience,10,7,comshieves,7,,kɑːnʃəns,kəmʃiːvz
1843,conscious,9,6,comstrous,8,,kɑːnʃəs,kəmstɹuːz
1844,consecutive,11,11,consitutics,12,,kənsɛkjuːtɪv,kɑːnsɪtuːɾɪks
1845,consensus,9,9,consinpus,9,,kənsɛnsəs,kənsɪnpəs
1846,consent,7,7,comsate,6,,kənsɛnt,kəmseɪt
1847,consequence,11,10,consoquerce,10,,kɑːnsɪkwəns,kənsɑːkwɚs
1848,consequently,12,12,consoquintry,12,,kɑːnsɪkwəntli,kənsɑːkwɪntɹi
1849,conservation,12,11,consetnative,11,,kɑːnsɚveɪʃən,kənsɛtnətɪv
1850,conservatory,12,12,conservotomy,12,,kənsɜːvətɔːɹi,kɑːnsɚvɑːɾəmi
1851,conserve,8,7,comselve,7,,kənsɜːv,kəmsɛlv
1852,consider,8,8,consaden,8,,kənsɪdɚ,kənsædən
1853,consist,7,7,comsust,7,,kənsɪst,kəmsʌst
1854,consolation,11,10,considative,10,,kɑːnsəleɪʃən,kənsɪdətɪv
1855,console,7,6,comsale,6,,kɑːnsoʊl,kəmseɪl
1856,consolidate,11,10,concalidess,10,,kənsɑːlᵻdeɪt,kəŋkælaɪdɛs
1857,conspicuous,11,11,conspocious,10,,kənspɪkjuːəs,kənspoʊʃəs
1858,conspiracy,10,10,consparaty,10,,kənspɪɹəsi,kənspæɹəɾi
1859,conspire,8,8,comspite,7,,kənspaɪɚ,kəmspaɪt
1860,constable,9,9,constuple,9,,kɑːnstəbəl,kənstuːpəl
1861,constancy,9,9,constinpy,9,,kɑːnstənsi,kənstɪnpi
1862,constellation,13,11,constarlitive,12,,kɑːnstɪleɪʃən,kənstɑːɹlᵻtɪv
1863,constipate,10,9,constopale,9,,kɑːnstᵻpeɪt,kənstɑːpeɪl
1864,constipation,12,11,constudative,12,,kɑːnstɪpeɪʃən,kənstuːdətɪv
1865,constituency,12,12,constanuendy,13,,kənstɪtʃuːənsi,kɑːnstɐnjuːɛndi
1866,constitute,10,10,constotate,9,,kɑːnstɪtuːt,kənstoʊɾeɪt
1867,constitution,12,12,consistative,11,,kɑːnstɪtuːʃən,kənsɪstətɪv
1868,constrain,9,8,comsprain,8,,kənstɹeɪn,kəmspɹeɪn
1869,constrict,9,9,comstrave,8,,kənstɹɪkt,kəmstɹeɪv
1870,construct,9,9,comstrock,8,,kɑːnstɹʌkt,kəmstɹɑːk
1871,construction,12,11,constroctave,11,,kənstɹʌkʃən,kənstɹɑːkteɪv
1872,consult,7,7,comfult,7,,kənsʌlt,kʌmfʌlt
1873,consultation,12,11,consorcative,11,,kɑːnsəlteɪʃən,kənsɔːɹkətɪv
1874,consume,7,6,comsame,6,,kənsuːm,kəmseɪm
1875,consummation,12,10,consarmitive,11,,kɑːnsəmeɪʃən,kənsɑːɹmᵻtɪv
1876,consumption,11,10,consimptive,10,,kənsʌmpʃən,kənsɪmptɪv
1877,contact,7,7,comtart,7,,kɑːntækt,kəmtɑːɹt
1878,contain,7,6,comdain,6,,kənteɪn,kəmdeɪn
1879,contaminate,11,10,contatigate,10,,kəntæmᵻneɪt,kəntæɾᵻɡeɪt
1880,contemplate,11,10,contimplace,10,,kɑːntəmpleɪt,kəntɪmpleɪs
1881,contemplation,13,12,contendrative,12,,kɑːntəmpleɪʃən,kəntɛndɹətɪv
1882,contemporary,12,12,contempuramy,12,,kəntɛmpɚɹɛɹi,kəntɛmpjʊɹɹæmi
1883,contempt,8,8,comteres,7,,kəntɛmpt,kəmtɜːz
1884,contemptuous,12,11,contimptious,12,,kəntɛmptʃuːəs,kəntɪmpʃəs
1885,contend,7,7,comterd,7,,kəntɛnd,kəmtɜːd
1886,content,7,7,comtant,7,,kɑːntɛnt,kəmtænt
1887,contented,9,9,conpinted,9,,kəntɛntᵻd,kənpɪntᵻd
1888,contest,7,7,comtist,7,,kɑːntɛst,kəmtɪst
1889,context,7,8,comteon,7,,kɑːntɛkst,kɑːmtɪən
1890,continent,9,9,contonint,9,,kɑːntɪnənt,kəntɑːnɪnt
1891,continental,11,11,contonindal,11,,kɑːntɪnɛntəl,kəntɑːnɪndəl
1892,contingency,11,11,contargelry,10,,kəntɪndʒənsi,kəntɑːɹdʒəlɹi
1893,continual,9,10,contonuan,10,,kəntɪnjuːəl,kəntɑːnuːən
1894,continuation,12,12,continoatoon,11,,kəntɪnjuːeɪʃən,kəntɪnoʊtuːn
1895,continue,8,8,contonue,8,,kəntɪnjuː,kəntɑːnuː
1896,continuity,10,11,contanuify,11,,kɑːntɪnjuːᵻɾi,kɑːntɐnuːᵻfaɪ
1897,continuous,10,10,contopuous,10,,kəntɪnjuːəs,kəntɑːpjuːəs
1898,contour,7,6,comgoor,6,,kɑːntʊɹ,kəmɡɔːɹ
1899,contraband,10,10,controbind,10,,kɑːntɹəbænd,kɑːntɹəbaɪnd
1900,contraception,13,12,conturcintive,12,,kɑːntɹəsɛpʃən,kɑːntɚsɪntɪv
1901,contract,8,8,comtrape,7,,kɑːntɹækt,kəmtɹeɪp
1902,contraction,11,10,contrictoon,10,,kəntɹækʃən,kɑːntɹɪktuːn
1903,contractor,10,10,contrapton,10,,kəntɹæktɚ,kɑːntɹətɑːn
1904,contradict,10,10,controdirt,10,,kɑːntɹədɪkt,kɑːntɹədɜːt
1905,contrary,8,8,contrody,8,,kɑːntɹɛɹi,kɑːntɹədi
1906,contrast,8,8,cantroost,8,,kɑːntɹæst,kæntɹuːst
1907,contribute,10,10,controbate,9,,kəntɹɪbjuːt,kɑːntɹəbeɪt
1908,contribution,12,12,contronutive,12,,kɑːntɹɪbjuːʃən,kɑːntɹənuːɾɪv
1909,contributor,11,12,conterbitar,10,,kəntɹɪbjuːɾɚ,kəntɜːbɪɾɚ
1910,control,7,7,comtrel,7,,kəntɹoʊl,kəmtɹɛl
1911,controversial,13,12,contervinlial,12,,kɑːntɹəvɜːʃəl,kɑːntɚvɪnlɪəl
1912,controversy,11,11,contarvisty,11,,kɑːntɹəvɜːsi,kəntɑːɹvɪsti
1913,convenience,11,10,convanierce,9,,kənviːnɪəns,kənvænɪɹs
1914,convent,7,7,comdent,7,,kɑːnvənt,kəmdɛnt
1915,convention,10,9,convintive,9,,kənvɛnʃən,kənvɪntɪv
1916,converge,8,7,comterge,7,,kənvɜːdʒ,kəmtɜːdʒ
1917,conversation,12,11,conferbamive,11,,kɑːnvɚseɪʃən,kənfɜːbɐmɪv
1918,converse,8,7,comterse,7,,kɑːnvɜːs,kəmtɜːs
1919,conversion,10,9,convorsoon,9,,kənvɜːʒən,kɑːnvɔːɹsuːn
1920,convert,7,7,comvart,7,,kənvɜːt,kəmvɑːɹt
1921,convertible,11,11,conmechibly,10,,kənvɜːɾᵻbəl,kɑːnmɪtʃᵻbli
1922,convex,6,7,comdix,7,,kɑːnvɛks,kəmdɪks
1923,convey,6,5,comlay,5,,kənveɪ,kəmleɪ
1924,convict,7,7,comvact,7,,kɑːnvɪkt,kəmvækt
1925,conviction,10,9,convintoon,9,,kənvɪkʃən,kɑːnvɪntuːn
1926,convince,8,7,comtance,7,,kənvɪns,kəmtæns
1927,convoy,6,5,comvom,6,,kɑːnvɔɪ,kəmvɑːm
1928,convulsion,10,9,convolsoon,9,,kənvʌlʃən,kɑːnvəlsuːn
1929,cook,4,3,coik,3,,kʊk,kɔɪk
1930,cookery,7,6,cookony,6,,kʊkɚɹi,kʊkəni
1931,cool,4,3,coog,3,,kuːl,kuːɡ
1932,coop,4,3,coom,3,,kuːp,kuːm
1933,cooperate,9,8,cootemate,8,,koʊɑːpɚɹeɪt,kuːɾɪmeɪt
1934,cooperative,11,10,cooneratist,11,,koʊɑːpɚɹətɪv,kuːnɚɹətɪst
1935,coordinate,10,9,coordanize,9,,koʊɔːɹdᵻnət,koʊɔːɹdənaɪz
1936,cop,3,3,dop,3,,kɑːp,dɑːp
1937,copartner,9,9,copaltmer,9,,kɑːpɑːɹtnɚ,koʊpæltmɚ
1938,cope,4,3,zope,3,,koʊp,zoʊp
1939,coping,6,5,coxing,6,,koʊpɪŋ,kɑːksɪŋ
1940,copper,6,5,cogger,5,,kɑːpɚ,kɑːɡɚ
1941,copy,4,4,coxy,5,,kɑːpi,kɑːksi
1942,coral,5,5,cogal,5,,kɔːɹəl,kɑːɡəl
1943,cordial,7,6,curdian,7,,kɔːɹdʒəl,kɜːdiən
1944,cordiality,10,10,cordiaminy,10,,kɔːɹdɪælᵻɾi,kɔːɹdɪæmɪni
1945,cordially,9,7,cordiammy,8,,kɔːɹdʒəli,kɔːɹdɪæmi
1946,core,4,3,coge,3,,kɔːɹ,kɑːdʒ
1947,cork,4,4,curk,4,,kɔːɹk,kɜːk
1948,corkscrew,9,8,cortstrew,8,,kɔːɹkskɹuː,kɔːɹtstɹuː
1949,corn,4,4,carn,4,,kɔːɹn,kɑːɹn
1950,cornea,6,6,cordeo,6,,kɔːɹniə,kɔːɹdɪoʊ
1951,corner,6,6,cowder,5,,kɔːɹnɚ,kaʊdɚ
1952,corny,5,5,coony,4,,kɔːɹni,kuːni
1953,coronary,8,8,coronily,8,,kɔːɹənɛɹi,kɔːɹənili
1954,coronation,10,9,coronitive,9,,kɔːɹəneɪʃən,kɔːɹɑːnᵻtɪv
1955,coroner,7,7,coramer,7,,kɔːɹənɚ,kɔːɹeɪmɚ
1956,corporal,8,8,corpumal,8,,kɔːɹpɹəl,kɔːɹpjuːməl
1957,corporate,9,8,corpurake,8,,kɔːɹpɚɹət,kɔːɹpjʊɹɹeɪk
1958,corporation,11,10,corpumative,11,,kɔːɹpɚɹeɪʃən,kɔːɹpjuːmətɪv
1959,corpse,6,5,zorpse,5,,kɔːɹps,zɔːɹps
1960,corpus,6,6,compis,6,,kɔːɹpəs,kɑːmpiz
1961,correct,7,6,cobbect,6,,kɚɹɛkt,kɑːbɛkt
1962,correlate,9,7,corromale,7,,kɔɹɪleɪt,kɚɹɑːmeɪl
1963,correlation,11,9,corralitive,9,,kɔɹɪleɪʃən,kɔɹælᵻtɪv
1964,correspond,10,9,corrospand,9,,kɔːɹɪspɑːnd,kɚɹɑːspænd
1965,correspondent,13,12,corraplastend,12,,kɔːɹɪspɑːndənt,kɔɹɐplæstɛnd
1966,corridor,8,7,corropor,7,,kɔɹɪdɔːɹ,kɚɹɑːpɚ
1967,corrode,7,5,cobbode,5,,kɚɹoʊd,kɑːboʊd
1968,corrupt,7,6,curript,6,,kɚɹʌpt,kɜːɹɪpt
1969,corset,6,6,conlet,6,,kɔːɹsɛt,kənlɛt
1970,cortex,6,7,curlex,7,,kɔːɹɾɛks,kɜːlɛks
1971,cosmetic,8,8,cosmitin,8,,kɑːzmɛɾɪk,kɑːzmɪtɪn
1972,cosmetologist,13,13,cosmetalonist,13,,kɑːzmɪtɑːlədʒɪst,kɑːzmɪtælənɪst
1973,cosmic,6,6,colmix,7,,kɑːzmɪk,kɑːlmɪks
1974,cosmological,12,12,cosmolagicar,12,,kɑːzməlɑːdʒɪkəl,kɑːzməlædʒɪkɑːɹ
1975,cosmos,6,6,colmis,6,,kɑːzmoʊs,kɑːlmiz
1976,cost,4,4,corge,4,,kɔst,kɔːɹdʒ
1977,costume,7,7,coltame,6,,kɔstuːm,koʊlteɪm
1978,costumer,8,9,costimen,8,,kɔstuːmɚ,kɔstaɪmɛn
1979,cot,3,3,cov,3,,kɑːt,kɑːv
1980,cottage,7,5,cobbage,5,,kɑːɾɪdʒ,kɑːbɪdʒ
1981,cotton,6,4,corron,5,,kɑːʔn̩,kɚɹɑːn
1982,cottonseed,10,7,cottinseek,8,,kɑːʔn̩siːd,kɑːtɪnsiːk
1983,couch,5,3,cooch,3,,kaʊtʃ,kuːtʃ
1984,cougar,6,5,colgan,6,,kuːɡɚ,kɑːlɡən
1985,cough,5,3,caif,3,,kɔf,keɪf
1986,council,7,6,coulcin,6,,kaʊnsəl,kaʊlsɪn
1987,count,5,4,coond,4,,kaʊnt,kuːnd
1988,counter,7,6,cousten,6,,kaʊntɚ,kaʊsʔn̩
1989,counteract,10,9,countelart,9,,kaʊntɚɹækt,kaʊntɪlɑːɹt
1990,counterattack,13,10,countelantare,11,,kaʊntɚɹɐtæk,kaʊntɪlæntɛɹ
1991,counterbalance,14,12,countarbroades,12,,kaʊntɚbæləns,kaʊntɑːɹbɹɔːdz
1992,counterclockwise,16,13,countilclustrise,14,,kaʊntɚklɑːkwaɪz,kaʊntɪlklʌstɹaɪz
1993,counterfeit,11,9,countemfeil,9,,kaʊntɚfeɪt,kaʊntɪmfeɪl
1994,counterrevolution,17,15,counterrovularion,15,,kaʊntɚɹɛvəluːʃən,kaʊntɚɹɑːvjʊlɑːɹɹiən
1995,countersignature,16,14,countersirtanure,13,,kaʊntɚsɪɡnɪtʃɚ,kaʊntɚsɜːtɐnjʊɹ
1996,countless,9,7,couthness,6,,kaʊntləs,kuːθnəs
1997,country,7,6,coustly,6,,kʌntɹi,kaʊstli
1998,county,6,5,cousry,5,,kaʊnti,kaʊsɹi
1999,couple,6,5,coatle,5,,kʌpəl,koʊɾəl
2000,couplet,7,6,coatlit,6,,kʌplɪt,koʊtlɪt
2001,coupling,8,7,coobling,6,,kʌplɪŋ,kuːblɪŋ
2002,coupon,6,6,caepin,5,,kuːpɑːn,kiːpɪn
2003,courage,7,5,coatade,5,,kɜːɹɪdʒ,koʊɾeɪd
2004,courageous,10,7,couromeous,8,,kɜːɹeɪdʒəs,kɜːɹoʊmiəs
2005,court,5,4,coufs,4,,kɔːɹt,kuːfs
2006,courteous,9,7,courveoes,7,,kɜːɾiəs,kɜːvɪoʊz
2007,courtesy,8,7,courtory,7,,kɜːɾəsi,kɔːɹɾɚɹi
2008,courthouse,10,7,counthound,8,,kɔːɹthaʊs,kaʊnθaʊnd
2009,courtship,9,6,cournstip,8,,kɔːɹtʃɪp,kɜːnstɪp
